id,email,student_id,password_hash,first_name,last_name,role,avatar_url,phone,department_id,year_of_study,is_active,last_login,created_at,updated_at,bio,gpa,total_credits
22222222-2222-2222-2222-222222222101,alice.johnson@student.aie.edu,STU001,$2b$12$LQv3c1yqBwuvhi8LFGPv.Oupoj/a5sqqUAhkZBgZRv0yKw84r2l2K,Alice,Johnson,student,,,11111111-1111-1111-1111-111111111111,1,true,,2025-09-17 09:31:34.054009,2025-09-17 09:31:34.054009,First-year Computer Science student passionate about programming,3.80,30
22222222-2222-2222-2222-222222222102,bob.williams@student.aie.edu,STU002,$2b$12$LQv3c1yqBwuvhi8LFGPv.Oupoj/a5sqqUAhkZBgZRv0yKw84r2l2K,Bob,Williams,student,,,11111111-1111-1111-1111-111111111114,1,true,,2025-09-17 09:31:34.054009,2025-09-17 09:31:34.054009,Aspiring AI researcher and machine learning enthusiast,3.90,28
22222222-2222-2222-2222-222222222103,carol.brown@student.aie.edu,STU003,$2b$12$LQv3c1yqBwuvhi8LFGPv.Oupoj/a5sqqUAhkZBgZRv0yKw84r2l2K,Carol,Brown,student,,,11111111-1111-1111-1111-111111111113,1,true,,2025-09-17 09:31:34.054009,2025-09-17 09:31:34.054009,Data Science student interested in statistical analysis,3.70,32
22222222-2222-2222-2222-222222222104,david.davis@student.aie.edu,STU004,$2b$12$LQv3c1yqBwuvhi8LFGPv.Oupoj/a5sqqUAhkZBgZRv0yKw84r2l2K,David,Davis,student,,,11111111-1111-1111-1111-111111111116,1,true,,2025-09-17 09:31:34.054009,2025-09-17 09:31:34.054009,Software Engineering student with focus on web development,3.60,29
22222222-2222-2222-2222-222222222105,emma.wilson@student.aie.edu,STU005,$2b$12$LQv3c1yqBwuvhi8LFGPv.Oupoj/a5sqqUAhkZBgZRv0yKw84r2l2K,Emma,Wilson,student,,,11111111-1111-1111-1111-111111111115,1,true,,2025-09-17 09:31:34.054009,2025-09-17 09:31:34.054009,Cybersecurity student interested in ethical hacking,3.85,31
22222222-2222-2222-2222-222222222106,frank.garcia@student.aie.edu,STU006,$2b$12$LQv3c1yqBwuvhi8LFGPv.Oupoj/a5sqqUAhkZBgZRv0yKw84r2l2K,Frank,Garcia,student,,,11111111-1111-1111-1111-111111111111,2,true,,2025-09-17 09:31:34.054009,2025-09-17 09:31:34.054009,Second-year CS student specializing in algorithms,3.72,62
22222222-2222-2222-2222-222222222107,grace.lee@student.aie.edu,STU007,$2b$12$LQv3c1yqBwuvhi8LFGPv.Oupoj/a5sqqUAhkZBgZRv0yKw84r2l2K,Grace,Lee,student,,,11111111-1111-1111-1111-111111111117,2,true,,2025-09-17 09:31:34.054009,2025-09-17 09:31:34.054009,Database Systems student with interest in big data,3.91,58
22222222-2222-2222-2222-222222222108,henry.martinez@student.aie.edu,STU008,$2b$12$LQv3c1yqBwuvhi8LFGPv.Oupoj/a5sqqUAhkZBgZRv0yKw84r2l2K,Henry,Martinez,student,,,11111111-1111-1111-1111-111111111118,2,true,,2025-09-17 09:31:34.054009,2025-09-17 09:31:34.054009,Web Development student creating innovative user interfaces,3.68,60
22222222-2222-2222-2222-222222222109,ivy.taylor@student.aie.edu,STU009,$2b$12$LQv3c1yqBwuvhi8LFGPv.Oupoj/a5sqqUAhkZBgZRv0yKw84r2l2K,Ivy,Taylor,student,,,11111111-1111-1111-1111-111111111112,2,true,,2025-09-17 09:31:34.054009,2025-09-17 09:31:34.054009,IT student focused on system administration,3.74,59
22222222-2222-2222-2222-222222222110,jack.anderson@student.aie.edu,STU010,$2b$12$LQv3c1yqBwuvhi8LFGPv.Oupoj/a5sqqUAhkZBgZRv0yKw84r2l2K,Jack,Anderson,student,,,11111111-1111-1111-1111-111111111114,2,true,,2025-09-17 09:31:34.054009,2025-09-17 09:31:34.054009,AI student working on neural networks and deep learning,3.87,61
22222222-2222-2222-2222-222222222111,kate.thomas@student.aie.edu,STU011,$2b$12$LQv3c1yqBwuvhi8LFGPv.Oupoj/a5sqqUAhkZBgZRv0yKw84r2l2K,Kate,Thomas,student,,,11111111-1111-1111-1111-111111111111,3,true,,2025-09-17 09:31:34.054009,2025-09-17 09:31:34.054009,Senior CS student preparing for software engineering career,3.79,95
22222222-2222-2222-2222-222222222112,liam.jackson@student.aie.edu,STU012,$2b$12$LQv3c1yqBwuvhi8LFGPv.Oupoj/a5sqqUAhkZBgZRv0yKw84r2l2K,Liam,Jackson,student,,,11111111-1111-1111-1111-111111111113,3,true,,2025-09-17 09:31:34.054009,2025-09-17 09:31:34.054009,Data Science student specializing in machine learning applications,3.88,92
22222222-2222-2222-2222-222222222113,mia.white@student.aie.edu,STU013,$2b$12$LQv3c1yqBwuvhi8LFGPv.Oupoj/a5sqqUAhkZBgZRv0yKw84r2l2K,Mia,White,student,,,11111111-1111-1111-1111-111111111115,3,true,,2025-09-17 09:31:34.054009,2025-09-17 09:31:34.054009,Cybersecurity student with expertise in penetration testing,3.93,89
22222222-2222-2222-2222-222222222114,noah.harris@student.aie.edu,STU014,$2b$12$LQv3c1yqBwuvhi8LFGPv.Oupoj/a5sqqUAhkZBgZRv0yKw84r2l2K,Noah,Harris,student,,,11111111-1111-1111-1111-111111111116,3,true,,2025-09-17 09:31:34.054009,2025-09-17 09:31:34.054009,Software Engineering student leading multiple development projects,3.76,94
